"","means","ses"
"tor",39.808,4.32548793153395
"bos",28.143,3.83213207447711
"det",39.35,4.15243816844306
"mem",50.291,4.04260580092366
"orl",23.336,3.87247983856599
"mia",52.542,4.09988354042466
"min",45.228,4.28606887326678
"hou",54.572,4.03225434156565
"sa",50.85,3.97432954034958
"atl",46.39,4.30655853860672
"cha",33.584,4.13304077236434
"mil",35.136,4.14664909278549
"ny",46.325,4.33175935840614
"bkn",48.188,4.23681562103033
"ind",51.4,4.25183232008014
"chi",47.352,4.23249453750504
"okc",58.485,3.77439015219956
"den",29.011,3.96163773881126
"lac",49.801,4.02337999530079
"gs",45.84,4.16770557618575
"por",40.72,4.16640840040423
"wsh",37.807,3.98618121021118
"phi",39.025,4.05596176335845
"phx",25.881,3.99083522157527
"lal",21.452,3.8189370615762
"sac",36.167,4.25619856517835
"utah",35.041,4.11025707385964
"no",31.019,4.04611047921458
"dal",47.324,4.1785744560178
"cle",39.932,4.37201217867591
