"","Player","ORPM","DRPM","RPM","Possessions","year"
"100","Brad Lohaus","0.1","-0.1","0.0","4066.0",1991
"101","Ricky Pierce","2.6","-2.6","0.0","6608.0",1991
"102","Frank Brickowski","-1.1","1.1","0.0","9660.0",1991
"103","Lester Conner","-0.7","0.7","-0.0","3466.0",1991
"104","Clifford Robinson","-0.5","0.5","-0.0","7916.0",1991
"105","Trent Tucker","2.3","-2.4","-0.1","4612.0",1991
"106","Craig Ehlo","-0.2","0.1","-0.1","10924.0",1991
"107","Sleepy Floyd","1.8","-1.9","-0.1","6170.0",1991
"108","Danny Manning","-0.6","0.5","-0.1","8920.0",1991
"109","Danny Schayes","-0.8","0.7","-0.1","8628.0",1991
"110","Kevin Willis","-0.8","0.6","-0.1","11758.0",1991
"111","Olden Polynice","-0.9","0.7","-0.2","7748.0",1991
"112","Rodney McCray","-0.7","0.5","-0.2","10382.0",1991
"113","Bill Cartwright","-0.7","0.5","-0.2","12378.0",1991
"114","Terry Cummings","-0.1","-0.1","-0.2","10304.0",1991
"115","Dennis Scott","2.1","-2.3","-0.2","10784.0",1991
"116","Ed Nealy","-0.7","0.5","-0.2","2226.0",1991
"117","Reggie Williams","0.5","-0.7","-0.2","8990.0",1991
"118","William Bedford","0.2","-0.5","-0.3","2454.0",1991
"119","Joe Dumars","0.8","-1.1","-0.3","13848.0",1991
"120","Vern Fleming","0.9","-1.2","-0.3","8484.0",1991
"121","Henry James","2.5","-2.8","-0.4","1814.0",1991
"122","Maurice Cheeks","-0.7","0.4","-0.4","9800.0",1991
"123","Tod Murphy","-0.7","0.3","-0.4","4160.0",1991
"124","Jon Koncak","-2.1","1.7","-0.4","9718.0",1991
"125","Rick Mahorn","-2.0","1.6","-0.4","11558.0",1991
"126","Larry Smith","-2.0","1.6","-0.4","7584.0",1991
"127","Chuck Person","1.6","-2.0","-0.4","12382.0",1991
"128","Scott Williams","-0.5","0.1","-0.4","1536.0",1991
"129","Tyrone Corbin","-1.0","0.5","-0.5","12294.0",1991
"130","Jerome Lane","-0.7","0.2","-0.5","6494.0",1991
"131","Harvey Grant","-0.9","0.4","-0.5","11762.0",1991
"132","Sarunas Marciulionis","0.3","-0.8","-0.5","4712.0",1991
"133","Otis Smith","0.1","-0.6","-0.5","7810.0",1991
"134","Thurl Bailey","-1.0","0.5","-0.5","9018.0",1991
"135","Dave Corzine","0.2","-0.7","-0.5","668.0",1991
"136","Rik Smits","-0.8","0.3","-0.5","7548.0",1991
"137","LaSalle Thompson","-1.9","1.4","-0.5","10630.0",1991
"138","Kevin Gamble","0.3","-0.8","-0.5","13104.0",1991
"139","Roy Tarpley","0.0","-0.6","-0.5","680.0",1991
"140","Kurt Rambis","-1.4","0.8","-0.6","4026.0",1991
"141","Derrick McKey","-0.2","-0.4","-0.6","9896.0",1991
"142","Travis Mays","1.3","-1.9","-0.6","8520.0",1991
"143","Cliff Levingston","-1.1","0.5","-0.6","4146.0",1991
"144","Terry Davis","-1.0","0.4","-0.6","4092.0",1991
"145","Alaa Abdelnaby","0.0","-0.6","-0.6","1250.0",1991
"146","Greg Dreiling","-1.7","1.1","-0.7","5928.0",1991
"147","James Donaldson","-2.3","1.6","-0.7","11828.0",1991
"148","Sherman Douglas","0.2","-0.9","-0.7","11030.0",1991
"149","Dell Curry","0.7","-1.4","-0.7","5398.0",1991
"150","Mike Brown","-1.3","0.6","-0.7","5332.0",1991
"151","Tom Garrick","-0.4","-0.3","-0.7","3342.0",1991
"152","Willie Anderson","-1.2","0.5","-0.7","11824.0",1991
"153","Nick Anderson","-0.9","0.2","-0.7","8052.0",1991
"154","Wayne Cooper","-2.5","1.8","-0.7","2752.0",1991
"155","Muggsy Bogues","0.2","-0.9","-0.7","9052.0",1991
"156","Frank Kornet","0.1","-0.8","-0.7","572.0",1991
"157","Delaney Rudd","1.2","-1.9","-0.7","3300.0",1991
"158","Tony Massenburg","-0.2","-0.6","-0.8","696.0",1991
"159","Adrian Dantley","-0.1","-0.7","-0.8","460.0",1991
"160","Sidney Moncrief","-0.0","-0.8","-0.8","3952.0",1991
"161","Xavier McDaniel","-1.3","0.5","-0.8","12078.0",1991
"162","Andre Turner","0.2","-1.0","-0.8","4782.0",1991
