"","Player","ORPM","DRPM","RPM","Possessions","year"
"1726","Kurt Rambis","-0.6","-0.2","-0.9","664.0",1995
"1727","Jon Koncak","-4.1","3.2","-0.9","3700.0",1995
"1728","Joe Dumars","1.3","-2.2","-0.9","9864.0",1995
"1729","Danny Ferry","1.3","-2.2","-0.9","4136.0",1995
"1730","Bryon Russell","-1.3","0.4","-0.9","3384.0",1995
"1731","Alton Lister","-3.1","2.1","-0.9","3878.0",1995
"1732","Loy Vaught","-1.7","0.7","-0.9","11564.0",1995
"1733","Sam Bowie","-2.4","1.5","-0.9","4780.0",1995
"1734","Jim McIlvaine","-2.5","1.6","-1.0","1716.0",1995
"1735","Luc Longley","-2.4","1.4","-1.0","4072.0",1995
"1736","Vinny Del Negro","0.6","-1.6","-1.0","12004.0",1995
"1737","Corie Blount","-1.5","0.4","-1.0","3246.0",1995
"1738","David Benoit","-0.9","-0.1","-1.0","8880.0",1995
"1739","Eric Montross","-1.5","0.4","-1.0","10440.0",1995
"1740","Danny Ainge","1.6","-2.7","-1.1","4896.0",1995
"1741","Rex Chapman","1.5","-2.6","-1.1","5502.0",1995
"1742","Jon Barry","0.5","-1.6","-1.1","1888.0",1995
"1743","Moses Malone","-0.3","-0.7","-1.1","460.0",1995
"1744","Harvey Grant","-1.3","0.2","-1.1","6308.0",1995
"1745","Lester Conner","-0.3","-0.8","-1.1","16.0",1995
"1746","Carlos Rogers","-0.9","-0.2","-1.1","4040.0",1995
"1747","Sarunas Marciulionis","0.2","-1.4","-1.2","4132.0",1995
"1748","Benoit Benjamin","-3.0","1.8","-1.2","7348.0",1995
"1749","Vern Fleming","-0.1","-1.1","-1.2","2166.0",1995
"1750","Bison Dele","-2.0","0.8","-1.2","4180.0",1995
"1751","Derrick Alston","-1.8","0.6","-1.2","3336.0",1995
"1752","Doug Christie","-0.3","-0.9","-1.2","298.0",1995
"1753","Jaren Jackson","-0.3","-0.9","-1.2","826.0",1995
"1754","Keith Askins","-1.0","-0.2","-1.3","2848.0",1995
"1755","Jerome Kersey","-1.5","0.2","-1.3","3800.0",1995
"1756","Pete Myers","-1.3","0.0","-1.3","4648.0",1995
"1757","Jim Les","0.4","-1.6","-1.3","652.0",1995
"1758","Pete Chilcutt","-0.8","-0.4","-1.3","6586.0",1995
"1759","Bryant Stith","-0.3","-1.0","-1.3","9248.0",1995
"1760","Pooh Richardson","-0.9","-0.4","-1.3","11206.0",1995
"1761","Pervis Ellison","-2.1","0.7","-1.3","3948.0",1995
"1762","Clifford Rozier","-2.1","0.8","-1.3","6392.0",1995
"1763","Rich King","-0.2","-1.2","-1.3","26.0",1995
"1764","Byron Houston","-1.0","-0.3","-1.3","1034.0",1995
"1765","Hubert Davis","1.4","-2.7","-1.4","5780.0",1995
"1766","Anthony Avent","-2.5","1.1","-1.4","3796.0",1995
"1767","Charles Jones","-1.3","-0.0","-1.4","926.0",1995
"1768","Tom Hammonds","-0.8","-0.6","-1.4","3564.0",1995
"1769","Alphonso Ford","-0.4","-0.9","-1.4","238.0",1995
"1770","George Lynch","-1.2","-0.2","-1.4","4226.0",1995
"1771","Craig Ehlo","0.1","-1.5","-1.4","3510.0",1995
"1772","Corey Gaines","-0.6","-0.9","-1.5","1218.0",1995
"1773","Roy Tarpley","-1.5","-0.0","-1.5","4000.0",1995
"1774","Robert Parish","-3.6","2.1","-1.5","4608.0",1995
"1775","Mark Randall","-0.2","-1.3","-1.5","138.0",1995
"1776","Sedale Threatt","0.3","-1.8","-1.5","4266.0",1995
"1777","Lucious Harris","0.2","-1.7","-1.5","6562.0",1995
"1778","Matt Geiger","-1.9","0.4","-1.5","6934.0",1995
"1779","Randy Brown","-1.8","0.2","-1.5","3372.0",1995
"1780","Spud Webb","-0.0","-1.5","-1.5","10482.0",1995
"1781","Ken Norman","-0.6","-0.9","-1.5","6626.0",1995
"1782","Steve Henson","1.1","-2.7","-1.5","1250.0",1995
"1783","Chuck Person","-0.1","-1.5","-1.6","6992.0",1995
"1784","Terry Cummings","-2.4","0.8","-1.6","5424.0",1995
"1785","Marty Conlon","-0.4","-1.2","-1.6","6006.0",1995
"1786","Mark Bryant","-1.8","0.2","-1.6","2182.0",1995
"1787","George McCloud","1.2","-2.8","-1.6","2662.0",1995
"1788","Jud Buechler","-0.3","-1.3","-1.6","2256.0",1995
"1789","Jay Humphries","-0.5","-1.1","-1.6","692.0",1995
"1790","Kenny Walker","-0.9","-0.7","-1.6","944.0",1995
"1791","Gerald Madkins","-0.4","-1.2","-1.6","88.0",1995
"1792","Trevor Wilson","-0.7","-0.9","-1.6","540.0",1995
"1793","Darnell Mee","-0.5","-1.1","-1.6","30.0",1995
"1794","Jack Haley","-0.4","-1.2","-1.6","502.0",1995
"1795","Ennis Whatley","-0.7","-0.9","-1.6","1092.0",1995
"1796","Bobby Phills","-1.8","0.2","-1.6","10180.0",1995
"1797","Geert Hammink","-0.4","-1.3","-1.7","26.0",1995
"1798","Tim Legler","1.6","-3.2","-1.7","1274.0",1995
"1799","Ricky Pierce","1.0","-2.7","-1.7","2516.0",1995
"1800","Brian Shaw","-0.3","-1.4","-1.7","7374.0",1995
"1801","Gary Grant","0.0","-1.7","-1.7","1640.0",1995
"1802","Keith Tower","-0.4","-1.3","-1.7","36.0",1995
"1803","Danny Schayes","-2.4","0.7","-1.7","4416.0",1995
"1804","Anthony Miller","-0.4","-1.3","-1.7","1744.0",1995
"1805","Tony Harris","-0.5","-1.3","-1.8","88.0",1995
"1806","Sharone Wright","-1.9","0.1","-1.8","8368.0",1995
"1807","Glenn Robinson","-0.6","-1.2","-1.8","11552.0",1995
"1808","Malik Sealy","-1.1","-0.7","-1.8","6366.0",1995
"1809","Aaron Williams","-0.5","-1.3","-1.8","240.0",1995
"1810","Tom Chambers","-1.2","-0.7","-1.8","4342.0",1995
"1811","Chris Mills","-1.2","-0.6","-1.8","10818.0",1995
"1812","Doug Edwards","-0.5","-1.4","-1.8","730.0",1995
"1813","Steve Kerr","0.3","-2.1","-1.9","6056.0",1995
"1814","Reggie Slater","-0.8","-1.0","-1.9","812.0",1995
"1815","Dontonio Wingfield","-0.6","-1.3","-1.9","330.0",1995
"1816","Bimbo Coles","-0.7","-1.2","-1.9","9144.0",1995
"1817","Greg Grant","-0.6","-1.3","-1.9","558.0",1995
"1818","Derek Strong","-1.1","-0.8","-1.9","5486.0",1995
"1819","Eric Mobley","-1.1","-0.9","-1.9","2940.0",1995
"1820","Dwayne Morton","-1.1","-0.9","-1.9","1696.0",1995
"1821","Brooks Thompson","-0.5","-1.4","-2.0","1096.0",1995
"1822","Carl Herrera","-2.2","0.2","-2.0","5268.0",1995
"1823","Antoine Carr","-1.4","-0.6","-2.0","5534.0",1995
"1824","Aaron Swinson","-0.7","-1.3","-2.0","206.0",1995
"1825","Johnny Newman","-0.8","-1.3","-2.0","6138.0",1995
"1826","Sam Mitchell","-1.1","-0.9","-2.0","5322.0",1995
"1827","Kevin Gamble","0.4","-2.4","-2.0","3944.0",1995
"1828","Andres Guibert","-0.6","-1.5","-2.0","594.0",1995
"1829","Henry Turner","-0.7","-1.4","-2.1","522.0",1995
"1830","Eric Piatkowski","0.5","-2.6","-2.1","4650.0",1995
"1831","Juwan Howard","-1.3","-0.8","-2.1","8916.0",1995
"1832","James Blackwell","-0.7","-1.4","-2.1","282.0",1995
"1833","Chris Smith","0.0","-2.1","-2.1","4054.0",1995
"1834","Mike Brown","-1.7","-0.4","-2.1","844.0",1995
"1835","Steve Colter","-1.0","-1.1","-2.1","2608.0",1995
"1836","Tony Dawson","-0.7","-1.4","-2.1","56.0",1995
"1837","Larry Stewart","-1.5","-0.5","-2.1","1154.0",1995
"1838","Randolph Keys","-0.6","-1.5","-2.1","262.0",1995
"1839","Mahmoud Abdul-Rauf","1.2","-3.3","-2.1","8038.0",1995
"1840","Brian Oliver","-0.8","-1.3","-2.1","122.0",1995
"1841","Tony Bennett","-0.2","-1.9","-2.1","150.0",1995
"1842","Charles Shackleford","-0.9","-1.2","-2.1","854.0",1995
"1843","Acie Earl","-1.5","-0.6","-2.1","960.0",1995
"1844","James Edwards","-1.4","-0.7","-2.1","1012.0",1995
"1845","Elmer Bennett","-0.8","-1.4","-2.1","66.0",1995
"1846","Fred Vinson","-0.8","-1.4","-2.2","116.0",1995
"1847","Walter Bond","-0.8","-1.4","-2.2","944.0",1995
"1848","Larry Krystkowiak","-1.5","-0.7","-2.2","1368.0",1995
"1849","Winston Garland","-1.4","-0.8","-2.2","8072.0",1995
"1850","Jim Jackson","1.0","-3.2","-2.2","7622.0",1995
"1851","Julius Nwosu","-0.9","-1.3","-2.2","312.0",1995
"1852","Sergey Bazarevich","-0.8","-1.4","-2.2","278.0",1995
"1853","Eldridge Recasner","-0.8","-1.4","-2.2","42.0",1995
"1854","Danny Young","-0.9","-1.3","-2.2","224.0",1995
"1855","Ron Grandison","-0.8","-1.4","-2.2","52.0",1995
"1856","Adrian Caldwell","-0.8","-1.4","-2.2","124.0",1995
"1857","Johnny Dawkins","-0.0","-2.1","-2.2","3914.0",1995
"1858","Richard Dumas","-0.8","-1.3","-2.2","564.0",1995
"1859","Mark Strickland","-0.8","-1.4","-2.2","24.0",1995
"1860","Darrell Armstrong","-0.8","-1.4","-2.2","10.0",1995
"1861","Derrick Phelps","-0.8","-1.4","-2.2","14.0",1995
"1862","Yinka Dare","-0.8","-1.4","-2.2","6.0",1995
"1863","James Donaldson","-2.7","0.5","-2.2","3842.0",1995
"1864","Lee Mayberry","-0.4","-1.8","-2.2","7792.0",1995
"1865","Pat Durham","-1.3","-0.9","-2.2","2730.0",1995
"1866","Corey Crowder","-0.8","-1.4","-2.2","138.0",1995
"1867","Chris Childs","-0.2","-2.0","-2.2","3358.0",1995
"1868","Tom Hovasse","-0.8","-1.4","-2.2","12.0",1995
"1869","Doug Lee","-0.8","-1.4","-2.2","298.0",1995
"1870","John Battle","-0.4","-1.8","-2.2","882.0",1995
"1871","Duane Ferrell","-0.5","-1.7","-2.2","2258.0",1995
"1872","Charlie Ward","-0.9","-1.4","-2.2","196.0",1995
"1873","Tate George","-0.8","-1.5","-2.2","42.0",1995
"1874","Tony Massenburg","-2.1","-0.2","-2.3","8540.0",1995
"1875","Askia Jones","-0.9","-1.4","-2.3","542.0",1995
"1876","Zan Tabak","-0.9","-1.4","-2.3","800.0",1995
"1877","Lamond Murray","-1.5","-0.8","-2.3","9640.0",1995
"1878","Scott Brooks","0.3","-2.6","-2.3","2566.0",1995
"1879","Mike Peplowski","-1.3","-1.0","-2.3","96.0",1995
"1880","Tom Tolbert","-1.3","-1.1","-2.3","216.0",1995
"1881","James Robinson","-0.4","-1.9","-2.4","5732.0",1995
"1882","Anthony Peeler","0.5","-2.9","-2.4","6996.0",1995
"1883","Donyell Marshall","-1.8","-0.6","-2.4","7630.0",1995
"1884","Kevin Pritchard","-0.9","-1.5","-2.4","634.0",1995
"1885","Greg Minor","-0.8","-1.6","-2.4","3556.0",1995
"1886","Tyrone Corbin","-2.2","-0.2","-2.4","4716.0",1995
"1887","Antonio Lang","-0.8","-1.6","-2.4","212.0",1995
"1888","Fred Roberts","-0.9","-1.5","-2.4","712.0",1995
"1889","Isaiah Rider","0.3","-2.7","-2.4","9788.0",1995
"1890","Bob Martin","-1.5","-0.9","-2.4","50.0",1995
"1891","Jerome Harmon","-1.1","-1.3","-2.5","508.0",1995
"1892","Dale Ellis","0.2","-2.6","-2.5","6158.0",1995
"1893","Jamie Watson","-1.4","-1.1","-2.5","2570.0",1995
"1894","Aaron McKie","-0.9","-1.6","-2.5","3510.0",1995
"1895","Antonio Harvey","-2.3","-0.3","-2.5","2190.0",1995
"1896","Mitchell Butler","-1.5","-1.1","-2.6","5006.0",1995
"1897","Greg Kite","-2.4","-0.2","-2.6","364.0",1995
"1898","David Wood","-1.3","-1.3","-2.6","4966.0",1995
"1899","Kenny Gattison","-3.0","0.4","-2.6","1454.0",1995
"1900","Allan Houston","0.5","-3.2","-2.6","7508.0",1995
"1901","Calbert Cheaney","-0.7","-1.9","-2.7","11036.0",1995
"1902","Stacey King","-2.7","0.0","-2.7","2976.0",1995
"1903","Greg Dreiling","-4.0","1.3","-2.7","1642.0",1995
"1904","Tony Campbell","-0.8","-1.8","-2.7","3286.0",1995
"1905","Tracy Murray","0.8","-3.5","-2.7","1854.0",1995
"1906","Rick Mahorn","-2.4","-0.3","-2.7","2184.0",1995
"1907","Willie Anderson","-1.5","-1.2","-2.7","2726.0",1995
"1908","Cliff Levingston","-2.5","-0.3","-2.8","1612.0",1995
"1909","Anthony Bowie","-0.7","-2.1","-2.8","4752.0",1995
"1910","Lionel Simmons","-2.1","-0.7","-2.8","3366.0",1995
"1911","Tim Perry","-2.8","0.0","-2.8","1550.0",1995
"1912","Herb Williams","-4.8","2.1","-2.8","2780.0",1995
"1913","Jo Jo English","-1.2","-1.6","-2.8","386.0",1995
"1914","Greg Sutton","-0.9","-1.9","-2.8","2446.0",1995
"1915","Joe Kleine","-2.7","-0.1","-2.8","5862.0",1995
"1916","Chucky Brown","-1.2","-1.6","-2.8","4370.0",1995
"1917","Dickey Simpkins","-1.6","-1.2","-2.8","2322.0",1995
"1918","Xavier McDaniel","-1.8","-1.0","-2.8","5268.0",1995
"1919","Kevin Edwards","-1.2","-1.7","-2.8","2056.0",1995
"1920","Rex Walters","-0.2","-2.7","-2.8","5788.0",1995
"1921","Ryan Lorthridge","-0.6","-2.3","-2.9","2348.0",1995
"1922","Ivano Newbill","-2.2","-0.7","-2.9","1150.0",1995
"1923","Mark Macon","-2.0","-0.9","-2.9","2626.0",1995
"1924","Trevor Ruffin","1.3","-4.2","-2.9","1250.0",1995
"1925","Wayman Tisdale","-1.6","-1.3","-3.0","5312.0",1995
"1926","Elmore Spencer","-4.4","1.4","-3.0","1552.0",1995
"1927","Chris Whitney","-1.1","-1.8","-3.0","644.0",1995
"1928","Don MacLean","-0.6","-2.4","-3.0","4106.0",1995
"1929","Anthony Tucker","-2.7","-0.4","-3.1","3670.0",1995
"1930","Lindsey Hunter","-0.4","-2.7","-3.1","4056.0",1995
"1931","Eric Leckner","-2.9","-0.2","-3.1","2608.0",1995
"1932","Greg Foster","-2.3","-0.8","-3.1","3758.0",1995
"1933","Lloyd Daniels","0.1","-3.2","-3.1","2488.0",1995
"1934","Victor Alexander","-2.2","-0.9","-3.1","5060.0",1995
"1935","Kevin Duckworth","-3.8","0.6","-3.2","3554.0",1995
"1936","Tony Smith","-0.9","-2.3","-3.2","3490.0",1995
"1937","Tim Breaux","-0.9","-2.2","-3.2","1184.0",1995
"1938","Doug Smith","-2.8","-0.4","-3.2","2582.0",1995
"1939","Jeff Turner","-1.4","-1.9","-3.2","2880.0",1995
"1940","Bill Wennington","-2.6","-0.7","-3.3","3382.0",1995
"1941","Monty Williams","-2.1","-1.2","-3.3","2576.0",1995
"1942","Darrin Hancock","-1.8","-1.6","-3.3","1762.0",1995
"1943","Dwayne Schintzius","-3.7","0.4","-3.4","1422.0",1995
"1944","David Wingate","-2.6","-0.8","-3.4","2322.0",1995
"1945","Doug Overton","-0.8","-2.6","-3.4","6024.0",1995
"1946","Ledell Eackles","-0.8","-2.6","-3.4","3152.0",1995
"1947","B.J. Tyler","-1.5","-2.0","-3.5","2898.0",1995
"1948","Blue Edwards","-1.3","-2.2","-3.5","4126.0",1995
"1949","Bill Curley","-2.7","-0.8","-3.6","2068.0",1995
"1950","Joe Wolf","-2.7","-0.9","-3.6","2218.0",1995
"1951","Terry Davis","-2.7","-0.9","-3.7","1974.0",1995
"1952","Matt Fish","-2.9","-0.8","-3.7","1596.0",1995
"1953","Doug West","-1.7","-2.0","-3.7","9168.0",1995
"1954","Darrick Martin","-1.3","-2.6","-3.9","2656.0",1995
"1955","Donald Hodge","-2.7","-1.2","-3.9","2108.0",1995
"1956","Rafael Addison","-2.6","-1.4","-4.0","6156.0",1995
"1957","Jeff Malone","-0.9","-3.1","-4.0","2708.0",1995
"1958","LaSalle Thompson","-4.2","0.1","-4.1","1608.0",1995
"1959","Michael Smith","-1.2","-2.9","-4.1","1090.0",1995
"1960","Tony Dumas","-0.9","-3.3","-4.2","2066.0",1995
"1961","Terry Dehere","-1.2","-3.0","-4.2","6746.0",1995
"1962","Bill Cartwright","-4.4","0.1","-4.3","2316.0",1995
"1963","Negele Knight","-1.5","-2.9","-4.4","3060.0",1995
"1964","Bobby Hurley","-1.4","-3.0","-4.4","3604.0",1995
"1965","Alaa Abdelnaby","-3.2","-1.4","-4.6","1628.0",1995
"1966","Jeff Grayer","-2.0","-2.7","-4.6","4322.0",1995
"1967","Harold Miner","-1.7","-3.1","-4.7","3334.0",1995
"1968","Sleepy Floyd","-2.3","-2.6","-4.9","2622.0",1995
"1969","Sean Higgins","-2.2","-2.8","-5.0","2654.0",1995
"1970","Howard Eisley","-2.8","-2.2","-5.0","2058.0",1995
"1971","John Williams","-3.6","-1.6","-5.2","1206.0",1995
"1972","Greg Graham","-2.6","-2.7","-5.3","2676.0",1995
"1973","David Robinson","3.6","5.4","9.0","13252.0",1996
"1974","Shaquille O'Neal","3.6","2.2","5.8","9268.0",1996
"1975","Alonzo Mourning","1.3","4.2","5.5","10530.0",1996
"1976","Dikembe Mutombo","-1.1","6.6","5.5","10614.0",1996
"1977","Hakeem Olajuwon","1.4","4.1","5.5","12232.0",1996
"1978","Scottie Pippen","3.4","2.1","5.4","13252.0",1996
"1979","Michael Jordan","4.5","0.7","5.2","14014.0",1996
"1980","Karl Malone","2.7","2.4","5.2","14046.0",1996
"1981","John Stockton","4.9","0.0","4.9","13674.0",1996
"1982","Shawn Kemp","1.0","3.9","4.9","13678.0",1996
"1983","Anfernee Hardaway","4.6","0.1","4.7","13340.0",1996
"1984","Charles Barkley","2.8","1.6","4.3","10984.0",1996
"1985","Vlade Divac","0.5","3.5","4.0","11176.0",1996
"1986","Gheorghe Muresan","0.5","3.5","4.0","10118.0",1996
"1987","Bo Outlaw","0.1","3.8","3.9","3120.0",1996
"1988","Clyde Drexler","2.5","1.1","3.5","8974.0",1996
"1989","Elden Campbell","-0.2","3.7","3.5","11734.0",1996
"1990","Grant Hill","1.6","1.7","3.3","12066.0",1996
"1991","Mookie Blaylock","2.9","0.5","3.3","12746.0",1996
"1992","Patrick Ewing","-0.7","3.8","3.1","11970.0",1996
"1993","Terrell Brandon","3.8","-0.8","3.0","9728.0",1996
"1994","Toni Kukoc","3.5","-0.6","3.0","8220.0",1996
"1995","Horace Grant","1.1","1.7","2.9","10042.0",1996
"1996","Kevin Johnson","3.9","-1.1","2.8","8856.0",1996
"1997","Arvydas Sabonis","1.0","1.7","2.7","6592.0",1996
"1998","Dennis Rodman","-0.3","2.9","2.6","10274.0",1996
"1999","Kenny Anderson","3.4","-0.9","2.5","9274.0",1996
"2000","Dale Davis","-0.7","3.2","2.5","11008.0",1996
"2001","Reggie Miller","3.7","-1.3","2.4","10350.0",1996
"2002","Shawn Bradley","-2.3","4.6","2.3","9794.0",1996
"2003","Gary Payton","2.0","0.3","2.3","15246.0",1996
"2004","Jason Kidd","1.8","0.4","2.3","12262.0",1996
"2005","Michael Cage","-1.4","3.7","2.3","10146.0",1996
"2006","Clifford Robinson","1.1","1.1","2.2","12130.0",1996
"2007","Rod Strickland","2.5","-0.3","2.2","10460.0",1996
"2008","Chris Dudley","-2.3","4.4","2.1","8928.0",1996
"2009","Nick Anderson","1.4","0.6","2.1","12346.0",1996
"2010","Jim McIlvaine","-2.7","4.7","2.0","3994.0",1996
"2011","Nate McMillan","-0.3","2.3","2.0","5522.0",1996
"2012","Eddie Jones","1.2","0.7","1.9","9752.0",1996
"2013","Detlef Schrempf","2.1","-0.3","1.9","11900.0",1996
"2014","Walt Williams","1.1","0.7","1.8","9874.0",1996
"2015","Larry Johnson","2.4","-0.6","1.8","12166.0",1996
"2016","Ervin Johnson","-2.0","3.8","1.8","8942.0",1996
"2017","Jeff Hornacek","2.4","-0.7","1.7","12010.0",1996
"2018","Robert Horry","-0.4","2.1","1.7","11648.0",1996
"2019","Tim Hardaway","3.1","-1.5","1.6","9776.0",1996
"2020","Magic Johnson","2.3","-0.6","1.6","3332.0",1996
"2021","Oliver Miller","-0.9","2.5","1.6","10346.0",1996
"2022","Tom Gugliotta","-0.5","2.1","1.6","11148.0",1996
"2023","Michael Smith","-0.4","1.9","1.6","4374.0",1996
"2024","Ron Harper","0.2","1.3","1.5","11034.0",1996
"2025","Chris Webber","2.6","-1.3","1.3","2274.0",1996
"2026","Sam Perkins","0.6","0.6","1.2","8968.0",1996
"2027","Mark Jackson","1.6","-0.4","1.2","11302.0",1996
"2028","Jayson Williams","-0.8","1.9","1.2","5604.0",1996
"2029","Christian Laettner","0.2","0.9","1.2","11354.0",1996
"2030","Will Perdue","-1.3","2.5","1.2","6164.0",1996
"2031","Sean Elliott","1.1","0.1","1.2","12708.0",1996
"2032","Mitch Richmond","1.9","-0.8","1.1","12124.0",1996
"2033","David Wesley","2.0","-1.0","1.0","8752.0",1996
"2034","Greg Anthony","2.0","-1.0","1.0","8894.0",1996
"2035","Dan Majerle","1.4","-0.4","1.0","6836.0",1996
"2036","Grant Long","-0.7","1.7","1.0","12868.0",1996
"2037","Brent Price","2.0","-1.0","1.0","8322.0",1996
"2038","Michael Adams","2.5","-1.5","1.0","1102.0",1996
"2039","Vin Baker","0.1","0.8","0.9","12132.0",1996
"2040","Dennis Scott","2.1","-1.2","0.9","13592.0",1996
"2041","Glen Rice","2.3","-1.5","0.8","11862.0",1996
"2042","Anthony Mason","-0.5","1.3","0.8","13586.0",1996
"2043","Hersey Hawkins","0.6","0.2","0.8","14532.0",1996
"2044","Avery Johnson","1.1","-0.4","0.8","13682.0",1996
"2045","Bobby Phills","1.0","-0.2","0.8","9370.0",1996
"2046","B.J. Armstrong","2.0","-1.3","0.7","9488.0",1996
"2047","Tyrone Hill","-0.8","1.3","0.6","2794.0",1996
"2048","Theo Ratliff","-1.1","1.6","0.5","4024.0",1996
"2049","Adam Keefe","-0.2","0.7","0.5","5450.0",1996
"2050","Cedric Ceballos","1.7","-1.3","0.4","11188.0",1996
"2051","Lorenzo Williams","-3.1","3.5","0.4","8222.0",1996
"2052","Robert Pack","2.0","-1.7","0.4","4574.0",1996
"2053","Duane Causwell","-2.5","2.9","0.4","4536.0",1996
"2054","Latrell Sprewell","1.1","-0.7","0.4","11572.0",1996
"2055","Hot Rod Williams","-1.6","2.0","0.4","8030.0",1996
"2056","Antonio Davis","-0.5","0.9","0.3","6804.0",1996
"2057","Steve Smith","1.9","-1.5","0.3","12524.0",1996
"2058","Nick Van Exel","2.4","-2.1","0.3","10968.0",1996
"2059","Olden Polynice","-1.4","1.7","0.3","11198.0",1996
"2060","Joe Smith","-0.4","0.7","0.3","11612.0",1996
"2061","Charles Oakley","-0.8","1.1","0.3","8408.0",1996
"2062","Terry Porter","1.4","-1.1","0.3","8112.0",1996
"2063","Derrick McKey","-0.4","0.6","0.3","10546.0",1996
"2064","Rick Fox","0.6","-0.4","0.2","11458.0",1996
"2065","Otis Thorpe","-1.3","1.6","0.2","11446.0",1996
"2066","Ed Pinckney","-0.9","1.1","0.2","7310.0",1996
"2067","Jerome Kersey","-1.4","1.6","0.2","7618.0",1996
"2068","John Starks","0.8","-0.7","0.2","11488.0",1996
"2069","Chris Gatling","0.6","-0.4","0.2","4736.0",1996
"2070","Rony Seikaly","-1.8","2.0","0.2","8060.0",1996
"2071","Sarunas Marciulionis","2.0","-1.9","0.1","3402.0",1996
"2072","Eric Murdock","-0.0","0.1","0.1","5430.0",1996
"2073","Chris Morris","1.2","-1.2","0.1","7064.0",1996
"2074","Derrick Coleman","-0.2","0.2","0.0","1322.0",1996
"2075","Greg Ostertag","-1.5","1.5","0.0","3028.0",1996
"2076","Pervis Ellison","-2.3","2.3","-0.0","5722.0",1996
"2077","Kendall Gill","0.6","-0.7","-0.0","6826.0",1996
"2078","Dino Radja","-1.4","1.3","-0.0","8026.0",1996
"2079","Jalen Rose","0.9","-0.9","-0.1","8036.0",1996
"2080","Clarence Weatherspoon","-1.1","1.1","-0.1","11450.0",1996
"2081","Rik Smits","-0.0","-0.1","-0.1","8592.0",1996
"2082","Kevin Garnett","-1.1","1.0","-0.1","8490.0",1996
"2083","A.C. Green","-1.0","0.9","-0.1","8376.0",1996
"2084","Armen Gilliam","-0.8","0.6","-0.2","11146.0",1996
"2085","Bob Sura","0.7","-0.9","-0.2","3460.0",1996
"2086","Terry Mills","0.1","-0.3","-0.2","5186.0",1996
"2087","Scott Burrell","0.4","-0.6","-0.2","2928.0",1996
"2088","John Crotty","1.2","-1.4","-0.2","2092.0",1996
"2089","Mark Price","1.7","-2.0","-0.2","416.0",1996
"2090","Billy Owens","-0.8","0.6","-0.2","8146.0",1996
"2091","Sean Rooks","-1.2","0.9","-0.3","4194.0",1996
"2092","Chris Mills","-0.3","-0.0","-0.3","10704.0",1996
"2093","P.J. Brown","-1.9","1.5","-0.3","11516.0",1996
"2094","Chuck Person","-0.2","-0.2","-0.3","7950.0",1996
"2095","Stacey Augmon","-0.1","-0.2","-0.3","9766.0",1996
"2096","Luc Longley","-1.7","1.4","-0.3","9380.0",1996
"2097","Danny Ferry","0.8","-1.1","-0.4","10278.0",1996
"2098","Brian Grant","-1.1","0.8","-0.4","10790.0",1996
"2099","Benoit Benjamin","-2.5","2.2","-0.4","8722.0",1996
"2100","Felton Spencer","-2.3","1.9","-0.4","8206.0",1996
"2101","Damon Stoudamire","1.2","-1.6","-0.4","10578.0",1996
"2102","Jon Barry","1.1","-1.6","-0.4","2382.0",1996
"2103","Derek Harper","-0.4","-0.0","-0.5","12666.0",1996
"2104","Chris Childs","0.9","-1.4","-0.5","8816.0",1996
"2105","Chris Mullin","1.4","-1.9","-0.5","5666.0",1996
"2106","Alton Lister","-3.5","3.0","-0.5","3124.0",1996
"2107","Juwan Howard","-0.1","-0.4","-0.5","12412.0",1996
"2108","George McCloud","1.2","-1.8","-0.5","10608.0",1996
"2109","Mark Davis","-1.6","1.1","-0.5","2022.0",1996
"2110","Joe Dumars","1.4","-1.9","-0.5","8026.0",1996
"2111","Dell Curry","1.2","-1.8","-0.6","7920.0",1996
"2112","Vinny Del Negro","0.6","-1.2","-0.6","13074.0",1996
"2113","Loy Vaught","-1.5","0.9","-0.6","11718.0",1996
"2114","Todd Day","0.1","-0.7","-0.6","6044.0",1996
"2115","Tim Legler","1.7","-2.3","-0.6","5272.0",1996
"2116","Buck Williams","-2.4","1.8","-0.6","5614.0",1996
"2117","Robert Parish","-2.5","1.9","-0.6","4738.0",1996
"2118","Elliot Perry","1.3","-1.9","-0.6","6512.0",1996
"2119","Charles Smith","-1.9","1.2","-0.6","7696.0",1996
"2120","Bryon Russell","-1.0","0.3","-0.7","3536.0",1996
"2121","Doug Christie","-0.1","-0.5","-0.7","4120.0",1996
"2122","Jud Buechler","0.5","-1.2","-0.7","3034.0",1996
"2123","Allan Houston","1.0","-1.7","-0.7","11376.0",1996
"2124","Rodney Rogers","-0.1","-0.6","-0.7","7862.0",1996
"2125","John Salley","-2.2","1.4","-0.7","2668.0",1996
"2126","Steve Scheffler","-0.0","-0.7","-0.7","840.0",1996
"2127","Pooh Richardson","0.6","-1.4","-0.7","8572.0",1996
"2128","Sam Cassell","1.7","-2.4","-0.7","5440.0",1996
"2129","Pete Chilcutt","-0.1","-0.7","-0.7","2212.0",1996
"2130","Greg Anderson","-3.7","2.9","-0.8","1638.0",1996
"2131","Brent Barry","1.1","-1.9","-0.8","7558.0",1996
"2132","Charles Jones","-2.7","1.9","-0.8","1072.0",1996
"2133","Chris Whitney","0.9","-1.7","-0.8","1036.0",1996
"2134","Matt Geiger","-1.6","0.8","-0.8","8884.0",1996
