match_id,homeWin,game_year,home_team,home_team_score,visit_team,visit_team_score,RPM_weight_0,ORPM_weight_0,DRPM_weight_0,PER_weight_0,RPM_weight_1,ORPM_weight_1,DRPM_weight_1,PER_weight_1,avg_scoreDiff,avg_homeWin,avg_scoreDiff_home,avg_win_home,avg_scoreDiff_visit,avg_win_visit,home_rpi,away_rpi,avg_GP,avg_GS,avg_MIN,avg_FG_made,avg_FG_attempted,avg_FGpercent,avg_ThreeP_made,avg_ThreeP_attempted,avg_ThreePpercent,avg_FT_made,avg_FT_attempted,avg_FTpercent,avg_OR,avg_DR,avg_REB,avg_AST,avg_BLK,avg_STL,avg_PF,avg_TO,avg_PTS
290222019,1,2008,orl,122,mia,99,-0.776837696,-0.845319372,0.071162304,13.15120419,1.731704894,1.084880351,0.642800364,15.93774806,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,1.298574584,100.8412604,-0.509900871,4.463660059,7.803460078,0.40322008,6.440412939,15.11288399,1.180659247,1.523924412,3.184802318,-0.20341446,-1.134554781,1.332686242,0.394691658,5.131498417,-2.867812254,0.095390998,-2.065149213,1.960229253,16.59681717
290314014,1,2008,mia,140,utah,129,1.454721649,1.131381443,0.342474227,17.03725773,0.49235474,0.125437865,0.382874618,14.88646094,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,-163.0308293,-141.5130815,-2.590393956,-2.929432398,2.053111078,-0.491234607,-0.635083466,-1.501155414,-0.334167833,-0.197704995,0.769296297,-0.396187323,0.1953854,4.74632242,4.682668424,-10.10760717,2.395979549,-2.720183374,-2.903593192,1.200471201,-6.291819855
290404027,0,2008,wsh,104,mia,118,-0.065658319,0.130969502,-0.193454004,13.47617158,-0.016662636,-0.053833132,0.037170496,15.9241838,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,185.1290528,24.01842347,1.183505407,5.30156751,10.63528299,0.453731657,-1.151412201,-1.834296464,0.364231593,0.840995327,-0.098360746,0.956542368,5.811718036,4.02923074,9.727527226,-2.216457534,-2.204244591,2.024391201,0.330625735,0.15548227,10.1792966
281108019,1,2008,orl,106,wsh,81,-0.364300203,0.127281947,-0.507454361,15.38379817,1.062330221,0.606005942,0.447771647,15.53779711,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,-127.0803372,79.73622365,1.55272604,-0.437756498,-7.584037789,0.210506624,3.612894174,6.860055889,0.209173711,1.349281513,4.395337145,-0.432953336,-2.00591626,3.666678359,1.781425749,1.520923217,0.583207642,-1.969436552,1.330573971,1.076619079,4.086662691
281110019,0,2008,orl,99,por,106,0.367207611,0.174090655,0.183044208,15.54650252,1.528732327,0.817661155,0.711071172,16.09742392,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,-144.4436432,5.868831233,0.31373032,-1.206694966,-5.821642044,-0.398109516,6.408719629,15.25209025,0.373049982,3.528623435,6.149438372,-0.604822793,-3.864198201,3.474304012,-0.374207673,-0.378485814,-0.463270784,1.582328686,-0.073117314,2.953407969,7.672456471
281112025,0,2008,okc,92,orl,109,1.062330221,0.606005942,0.447771647,15.53779711,-0.380346232,-0.384928717,0.004582485,3.595264766,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,-0.226797179,-43.19705996,-1.556369633,-4.23496916,-6.098139197,0.097229407,-8.920151528,-21.6958551,-2.169986566,-4.833952994,-6.305065614,-0.059905146,4.91666114,-2.548763344,1.884757383,-2.2265657,1.353240508,-0.679091095,1.347102419,-0.700782476,-22.34482794
281127027,0,2008,wsh,90,orl,105,1.599487963,0.856386992,0.732240388,15.77161636,-0.112171373,0.310321324,-0.437731256,15.63534567,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,125.7657506,1.77933391,-0.817531796,-2.31085613,-1.836788931,-0.869008458,-4.2972306,-8.885532893,-0.810875113,-2.310603025,-6.325620637,-1.007135897,-0.745649744,-7.16086984,-7.791356436,3.898588935,-1.951698973,2.060534475,-4.370378182,-2.875788319,-11.09767775
281203019,1,2008,orl,100,min,89,-1.1303269,-0.10204805,-1.046987003,13.87443876,2.236426988,1.066360469,1.158980044,17.13175483,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,25.87241256,71.85755748,-2.172945253,0.846012243,-2.278933637,0.576724119,2.030282687,3.338756358,0.60896317,8.450281525,13.04891826,0.351271423,2.19256594,7.573707464,9.61053038,-2.000332105,2.121662522,-0.236854089,-3.109175982,2.101186104,11.86110265
281205019,1,2008,orl,98,okc,89,-0.308805291,-0.312525837,0.003720546,2.919016122,1.483345455,0.740290909,0.734569697,16.00934545,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,32.37385693,11.10364865,-1.379453773,-1.191938098,-6.081438664,0.324427073,7.913484418,18.14869866,1.69505655,2.072654984,3.710383216,0.508811451,-4.667241643,2.303526317,-2.204385723,3.593968866,-0.687916323,0.236890235,-0.975844879,0.366859345,7.365226168
281209022,0,2008,por,108,orl,109,1.545393426,0.882445219,0.656947211,15.78916833,0.367207611,0.174090655,0.183044208,15.54650252,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,144.2666609,-5.183734169,-1.530964732,0.451326797,3.891045897,0.283364978,-6.715501854,-15.73206779,-0.53097778,-3.539552989,-6.016263155,0.076750982,4.058528621,-3.742365668,0.305657644,-0.322988058,0.753438063,-0.906668362,0.523592615,-3.695593625,-9.494992414
281213026,0,2008,utah,94,orl,103,-0.027050562,0.460308989,-0.498679775,14.29575843,0.893777778,0.770962963,0.12637037,15.4322716,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,103.0456202,-38.34648266,1.555704792,-0.825494146,-6.354329538,-0.008843457,-6.733207906,-16.00667121,-1.095454041,4.773881111,7.047834846,-0.419073788,2.417835923,-1.181474399,1.236361524,6.084610245,2.711888736,2.031028655,4.158024337,0.080040875,-3.610315088
281227016,0,2008,min,94,orl,118,1.414202831,0.763448596,0.650754235,16.21428406,-1.571454712,-0.472186642,-1.120997255,14.1268527,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,74.89410471,-105.7595164,1.174463296,2.710093415,9.985054632,0.252362994,-3.868398161,-7.823267796,-0.528253457,-5.307954601,-7.896678205,0.800963834,1.490871452,-6.064876836,-4.792584619,-0.985310174,-1.474609652,-0.034278841,2.540506078,-1.068477663,-4.084034785
290106019,1,2008,orl,89,wsh,80,-0.554979424,-0.088395062,-0.466584362,15.30875171,1.840316653,1.153548205,0.682188295,17.25409952,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,-151.8971069,228.4339528,-1.515760881,0.428654562,-8.993466141,-0.097583916,3.644943726,5.52755215,-0.22755224,3.503099884,7.373628339,-1.309270962,-1.796252904,4.254225855,2.457972951,4.876653778,0.539413324,-2.548323049,-2.213141618,2.041302124,7.740984282
290117007,0,2008,den,88,orl,106,1.506015222,0.922784189,0.579253621,16.41791063,0.55025227,0.591321897,-0.050504541,13.94339051,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,112.7967598,-112.9685325,1.196381323,-3.361078129,-4.420342701,0.803810942,-3.457692702,-6.897243803,-0.661817656,-1.01092715,-0.861334282,0.659470699,1.840980731,-2.890541656,-1.531488636,0.439918755,2.30307925,2.672962988,6.4530458,-1.393045921,-10.82933033
290211019,0,2008,orl,73,den,82,0.564540338,1.098030019,-0.535412758,15.58273921,1.585160758,0.995300907,0.585408079,16.55860126,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,-90.00086989,-3.441547075,-2.747567258,-1.435449245,-5.076426917,0.561605583,2.848925684,5.053100947,1.092675409,-2.634223665,-1.622701366,0.204925732,-0.241958608,4.998136715,5.093889176,-6.156445088,0.404660469,-2.661415818,-1.834761494,-0.560467636,-3.018715547
290313027,0,2008,wsh,103,orl,112,1.919903352,0.589217759,1.325792812,16.05084567,-0.541963534,-0.084880785,-0.457082749,15.29354839,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,139.8034072,-176.079152,1.691386356,2.025407576,11.29146202,-0.043901958,-4.220426682,-7.59452966,0.026857261,0.503948013,-3.39900876,0.929237891,1.627545585,-3.101715688,-1.346646192,-1.494819834,-1.535015875,0.979207087,1.654342946,-0.508834591,0.058481299
290315019,1,2008,orl,105,utah,87,1.038829408,0.849179158,0.206352605,16.29487866,1.952729069,0.992170906,0.956557175,16.36965918,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,-193.5761717,30.01148937,-2.415702063,0.11991552,5.415981417,-0.52086467,5.704683031,13.90650459,0.579507185,-0.14887264,2.361744427,-0.747066298,-0.359616123,6.449176668,6.003167457,-6.094038899,0.598142788,-1.737775019,-3.914950417,1.810385214,5.968427609
281112027,1,2008,wsh,95,utah,87,1.099578059,0.954008439,0.161097046,16.87841772,-0.05388303,0.437200384,-0.506088207,15.80759827,3.05,0.6,3.03,0.6,-3.03,0.4,0,0,-81.75395875,-17.10869038,-1.274683094,-2.703408646,5.79170442,-1.003226699,2.359502165,7.077971117,0.362201274,-1.962642067,-3.793581483,-0.286791042,-0.108778798,2.843823335,2.633176966,-7.257614313,-1.386138774,-0.847987917,-4.993603872,-1.405850369,-4.678753741
