"","scores.match_id","scores.home_rank","scores.away_rank","scores.home_rpi","scores.away_rpi"
"1","311225018",15,25,0.500040648062124,0.502857828889405
"2","311227014",30,25,0.503922100039331,0.502857828889405
"3","311228003",18,25,0.501227233747276,0.502857828889405
"4","311230002",25,8,0.502857828889405,0.497421023793282
"5","320101027",2,25,0.49565276861117,0.502857828889405
"6","320102002",25,2,0.502857828889405,0.49565276861117
"7","320104002",25,3,0.502857828889405,0.495984333773282
"8","320106002",25,10,0.502857828889405,0.498771925714423
"9","320111002",25,23,0.502857828889405,0.502768637964828
"10","320113002",25,29,0.502857828889405,0.503895172979957
"11","320114011",10,25,0.498771925714423,0.502857828889405
"12","320116002",25,22,0.502857828889405,0.502289318883577
"13","320118002",25,4,0.502857828889405,0.496190061684117
"14","320120002",25,16,0.502857828889405,0.50007361573061
"15","320122027",2,25,0.49565276861117,0.502857828889405
"16","320123002",25,26,0.502857828889405,0.502875063515975
"17","320126019",26,25,0.502875063515975,0.502857828889405
"18","320127002",25,10,0.502857828889405,0.498771925714423
"19","320129002",25,1,0.502857828889405,0.494481475816036
"20","320131005",1,25,0.494481475816036,0.502857828889405
"21","320201002",25,4,0.502857828889405,0.496190061684117
"22","320203002",25,15,0.502857828889405,0.500040648062124
"23","320205002",25,21,0.502857828889405,0.50181356945427
"24","320207002",25,6,0.502857828889405,0.497172534702085
"25","320209002",25,28,0.502857828889405,0.503702772822696
"26","320210028",4,25,0.496190061684117,0.502857828889405
"27","320212002",25,29,0.502857828889405,0.503895172979957
"28","320215002",25,8,0.502857828889405,0.497421023793282
"29","320216004",29,25,0.503895172979957,0.502857828889405
"30","320219008",8,25,0.497421023793282,0.502857828889405
"31","320220006",23,25,0.502768637964828,0.502857828889405
"32","320222025",22,25,0.502289318883577,0.502857828889405
"33","320228005",1,25,0.494481475816036,0.502857828889405
"34","320229002",25,13,0.502857828889405,0.499149719587537
"35","320302002",25,3,0.502857828889405,0.495984333773282
"36","320304002",25,15,0.502857828889405,0.500040648062124
"37","320306002",25,20,0.502857828889405,0.50157894164884
"38","320307020",17,25,0.500370505245646,0.502857828889405
"39","320309002",25,19,0.502857828889405,0.501369331320839
"40","320311013",28,25,0.503702772822696,0.502857828889405
"41","320312012",9,25,0.498425372894859,0.502857828889405
"42","320314009",11,25,0.498967872791655,0.502857828889405
"43","320316023",7,25,0.497345393479924,0.502857828889405
"44","320317007",24,25,0.502848233842612,0.502857828889405
"45","320319001",12,25,0.499092902551143,0.502857828889405
"46","320322015",13,25,0.499149719587537,0.502857828889405
