Year,2009.00,2010.00,2011.00,2012.00,2013.00
PER,0.618,0.628,0.619,0.631,0.589
RAPM,0.651,0.682,0.659,0.677,0.648
NB_PER,0.615,0.614,0.613,0.610,0.589
NB_RAPM,0.646,0.676,0.673,0.657,0.640
